iter	Logloss
0	0.4892796281
1	0.350977948
2	0.2339466707
3	0.1702496025
4	0.1348924261
5	0.1110216777
6	0.08749300335
7	0.07298038921
8	0.06531488828
9	0.06087397988
10	0.05281983282
11	0.04471405247
12	0.04088671927
13	0.03594927553
14	0.03289142472
15	0.03048764418
16	0.02735041298
17	0.02503394068
18	0.02366399643
19	0.02173298636
20	0.02029324505
21	0.01899340295
22	0.01828851923
23	0.01678852453
24	0.01550173576
25	0.01411021888
26	0.01327721531
27	0.01236143291
28	0.01174051442
29	0.01150158476
30	0.01105010453
31	0.01065796109
32	0.01027585646
33	0.009720160569
34	0.009419086192
35	0.009003800629
36	0.008395080818
37	0.008175806683
38	0.007794300649
39	0.00742397489
40	0.007330569389
41	0.007052562122
42	0.006654044927
43	0.006466393654
44	0.006305990728
45	0.005943651368
46	0.005821261062
47	0.005572504031
48	0.005352911813
49	0.005229063395
50	0.005170326287
51	0.004910409343
52	0.004742524876
53	0.00452478598
54	0.004421187679
55	0.004217783638
56	0.004095087795
57	0.004043205512
58	0.003936939623
59	0.003821026179
60	0.003686518131
61	0.003561249284
62	0.003430295191
63	0.003318642187
64	0.003220422324
65	0.003127574637
66	0.003049071751
67	0.002982677805
68	0.002921178631
69	0.00281806324
70	0.002777455942
71	0.002653171967
72	0.002556166993
73	0.002490357538
74	0.002471855461
75	0.002382972885
76	0.002334438774
77	0.002276356276
78	0.002211654412
79	0.002144919954
80	0.002080248272
81	0.002038030465
82	0.002007970264
83	0.001975646445
84	0.001932261596
85	0.001880799428
86	0.00186061449
87	0.001837705115
88	0.001797511039
89	0.001753732837
90	0.001729453397
91	0.001706619733
92	0.001687158925
93	0.001670627266
94	0.001622726396
95	0.001611413436
96	0.001578967392
97	0.001553425489
98	0.001541073262
99	0.001512142389
100	0.001495183482
101	0.001479070941
102	0.001425222678
103	0.001410205245
104	0.001387222761
105	0.001387206302
106	0.001380716736
107	0.001349560976
108	0.001329872251
109	0.001329867635
110	0.001292774186
111	0.001292774186
112	0.001292767619
113	0.001267695818
114	0.001267695818
115	0.001248703697
116	0.001240271786
117	0.001240271786
118	0.001228072942
119	0.001217501548
120	0.001202288172
121	0.001202288172
122	0.001202262449
123	0.001202259543
124	0.001202259543
125	0.001202275919
126	0.001202275919
127	0.001187379201
128	0.001187379201
129	0.001167707743
130	0.001167707743
131	0.001167650223
132	0.001165212494
133	0.001152618785
134	0.001143280198
135	0.001128034795
136	0.001128014737
137	0.001128026497
138	0.001128026497
139	0.001118265036
140	0.001118265036
141	0.001118289279
142	0.001118241705
143	0.001118199753
144	0.001118212793
145	0.001118166886
146	0.001103481689
147	0.001103469582
148	0.001103441877
149	0.001103448591
150	0.001103448591
151	0.00108144049
152	0.001075427615
153	0.001075427615
154	0.0010754337
155	0.001075391003
156	0.001075378771
157	0.001075367148
158	0.001075414187
159	0.001075381855
160	0.001075378215
161	0.001075390804
162	0.001075372183
163	0.001075344236
164	0.001075344236
165	0.001075338488
166	0.001075315681
167	0.001075315681
168	0.0010753071
169	0.001075329025
170	0.001075299914
171	0.001075299914
172	0.001075313415
173	0.001075323444
174	0.001075323444
175	0.001075299725
176	0.001075281314
177	0.001075264036
178	0.001075309261
179	0.001075279457
180	0.001075282573
181	0.001075260721
182	0.001075255979
183	0.001075274527
184	0.001075256
185	0.001075275345
186	0.001075231935
187	0.001075260763
188	0.001075256588
189	0.001075251301
190	0.00107525856
191	0.001075215318
192	0.001075233351
193	0.001075169411
194	0.001075236771
195	0.001075190162
196	0.001075203149
197	0.001075214563
198	0.001075184916
199	0.001075175664
200	0.001075235544
201	0.001075161544
202	0.001075195376
203	0.001075156991
204	0.001075162614
205	0.001075176325
206	0.001075174237
207	0.001075146164
208	0.001075168803
209	0.001075139776
210	0.001075155994
211	0.001075121522
212	0.001075129925
213	0.001075134404
